"","Watershed","Year","WY","Month","Day","NO3 (ueq/L)","SO4 (ueq/L)","DOC (mg/L)","Discharge (L/sec)","Specific Conductance (us/cm)","ANC"
"327","EB",1988,1989,10,25,10.2,113,2.9,19.675,"31.0","3.9"
"328","EB",1988,1989,10,25,10,112,2.9,19.675,"31.9","4.9"
"329","WB",1988,1989,10,25,12.9,115,2.4,16.76,"31.6","9.0"
"330","WB",1988,1989,10,25,13.2,116,2.2,16.76,"27.8","9.0"
"331","WB",1988,1989,10,25,12.9,113,2.5,16.76,"31.7","8.3"
"332","EB",1988,1989,10,25,10.2,114,2.8,11.72,"24.6","4.0"
"333","WB",1988,1989,10,25,13.3,114,2.3,10.984,"24.0","6.9"
"334","EB",1988,1989,10,26,8.1,113,2.6,8.323,"23.8","5.4"
"335","WB",1988,1989,10,26,10.5,113,2.1,8.323,"24.4","8.9"
"336","EB",1988,1989,11,1,2.4,118,1.6,1.699,"28.4","11.3"
"337","WB",1988,1989,11,1,3.9,116,1.4,1.699,"29.5","19.4"
"338","EB",1988,1989,11,1,2.2,116,1.9,1.699,"26.3","10.5"
"339","WB",1988,1989,11,1,3.7,114,1.5,1.699,"26.6","18.0"
"340","EB",1988,1989,11,2,7.2,104,4.6,82.042,"27.1","6.1"
"341","WB",1988,1989,11,2,13.6,105,3.8,68.312,"26.4","8.4"
"342","EB",1988,1989,11,2,10.5,102,5.2,129.405,"27.5","2.9"
"343","WB",1988,1989,11,2,15,107,NA,120.091,"27.1","2.4"
"344","EB",1988,1989,11,4,5.8,109,2.4,5.605,"26.3","6.1"
"345","WB",1988,1989,11,4,7.2,114,1.9,5.152,"26.4","9.7"
"346","WB",1988,1989,11,8,4.9,111,1.6,3.142,"24.3","12.7"
"347","EB",1988,1989,11,8,3.2,111,1.9,3.142,"24.1","8.5"
"348","EB",1988,1989,11,8,3.3,110,1.9,3.142,"24.9","6.3"
"349","EB",1988,1989,11,8,2.7,110,1.9,3.142,"25.5","6.8"
